"feature","coef.AD","qval.AD","coef.MCI","qval.MCI","coef.SCD","qval.SCD","coef.SCS","qval.SCS"
"K07795",-1.23369422050211,4.27393811460547e-07,-1.20020686437517,6.24119535440124e-07,-0.955762778163399,1.28726033285759e-05,-0.353699457951156,0.0507787706267922
"K00945",-0.0372171355982734,0.567629945259931,-0.0106156577873047,0.966390881620578,-0.185893582948044,0.00218142728071652,-0.391444975320297,4.28955987661748e-07
"K06020",-3.36345602825828,0.000119402118829459,5.24080106645997,4.3056036742489e-07,3.36779841429259,0.00011773555932035,4.18321637239316,8.83655288630223e-06
"K09770",-2.22285122394115,0.0205935646289375,2.01916775103527,0.0342384567888032,-6.46945566343643,4.30895175598553e-07,-4.60027113069992,3.70004803255186e-05
"K02907",0.391709390033179,0.000368903212747646,-0.296106932905604,0.00432001738203412,-0.358309100588108,0.000873843754920198,-0.678363834875619,4.38968132925072e-07
"K01912",-0.470240055090563,0.000368917425318376,-0.813867725658544,4.42844025650787e-07,-0.310284123046152,0.0111345542242617,0.195602796768322,0.101886527303396
"K16146",6.08094194448812e-16,1,3.27771464255607,4.49198566572046e-07,2.88695570515256e-16,1,0,1
"K02990",0.4227669602448,4.4981666083261e-07,0.177196625560314,0.00589020505890984,0.211342765912371,0.00145040366059003,0.0247588926563885,0.772881187938836
"K08234",-1.46118743629829,0.00136959874411753,0.0386826375938851,1,-2.90364546738332,4.50370959258581e-07,-0.697387266192347,0.102528190936766
"K10796",1.45512055196355,0.00657414776262985,1.30372996617587,0.0135996395440038,3.52505959075402,4.51038553084914e-07,1.21489268937766,0.0206131485381237
"K19169",-0.945265494019614,0.22508064158057,0.455962510548869,0.610208057838914,-5.22009768181668,4.53520795980316e-07,-2.57116317924342,0.00165666296177265
"K01201",3.58933313699215,4.53760667687263e-07,2.69050207988776,2.04863259407639e-05,3.45236857212669,7.73828287518239e-07,3.23255052916147,1.89473272593856e-06
"K07821",-1.72830765009397e-30,1,-6.66133814775094e-15,1,1.62871611955751,4.54463494350275e-07,0,1
"K14061",-1.36307326855911e-30,1,-7.21644966006352e-15,1,1.94940482609773,4.54743435250018e-07,-9.97838887024244e-31,1
"K13931",-3.69069320659581,3.94496485459476e-06,4.32722200835773,4.55381950933579e-07,-2.02361428852857,0.00256232038232093,-2.03240175300707,0.00247277916901668
"K13789",0.285820417644426,7.84218387224833e-06,0.353274667925677,4.560740120445e-07,0.100703896035531,0.0531140732431228,0.0585573068711572,0.271429520593716
"K03407",-0.815298369170168,5.74743030273744e-05,-0.580506055808939,0.0017496387487346,-1.05509984816036,2.23809386324066e-06,-1.18508734993608,4.59344290231178e-07
"K00855",4.35703352296032e-17,1,1.7428941674951,5.1041177411197e-07,1.75568656174419,4.61105756923365e-07,2.63312510143253e-17,1
"K03720",1.50144360821948e-16,1,1.54006596792038,1.04306606264693e-06,1.63424180357143,4.63423192144184e-07,5.70510438643714e-17,1
"K09472",-0.685183530205783,0.000932487413318542,-1.30143113145997,4.64654107111694e-07,-0.968364303565593,2.28436699782813e-05,0.272783132436765,0.157150817736459
"K03100",0.235964551397334,0.0166822625069143,0.302801416942711,0.00296771307897221,0.414534695409714,0.0001560914928598,0.658202978030168,4.66948676108517e-07
"K13280",0.320901495942034,0.213017772699002,-1.28578228387663,2.25855399588513e-05,-1.15163708741349,8.246663237241e-05,-1.72564908198484,4.67130772838947e-07
"K10806",-2.52873398543079,4.70853334076055e-07,1.06098988192603,0.00598583521834423,0.154519209244642,0.759571522560851,0.0133375464114372,1
"K13868",3.05312754866771,4.76983254499002e-07,1.02422551892617e-15,1,-3.43990022795941e-16,1,2.49459721756061e-31,1
"K00372",0.321020866353861,0.675965261318236,-0.34580692269951,0.644028873254201,-4.24376919464023,4.81115659783997e-07,-0.222200407883682,0.812130130034019
"K03660",-0.716218481781173,0.00224178954252055,-0.779947053242813,0.00107363520304168,-1.50010498463708,4.84286187036164e-07,-0.96054630720437,0.000134270059231224
